Quarter,GameClock,EventId,Who has the ball,Who will now have the ball,Home_event,Away_event,Player1,Player1_team_id,Player2,Player2_team_id,Player3,Player3_team_id
1,226.0,2,1,1,,MISS Kaminsky 25' 3PT Jump Shot,1626163,1610612766,0,,0,
1,225.0,4,1,1,,Zeller REBOUND (Off:2 Def:1),203469,1610612766,0,,0,
1,219.0,2,1,1,,MISS Walker 24' 3PT Jump Shot,202689,1610612766,0,,0,
1,218.0,4,1,1,,Hairston REBOUND (Off:1 Def:1),203798,1610612766,0,,0,
1,213.0,2,1,0,,MISS Hairston 2' Tip Layup Shot,203798,1610612766,0,,0,
1,212.0,4,0,0,Lowry REBOUND (Off:0 Def:2),,200768,1610612761,0,,0,
1,209.0,5,0,1,Lowry Out of Bounds - Bad Pass Turnover Turnover (P3.T4),,200768,1610612761,0,,0,
1,191.0,1,1,0,,Lamb  3PT Jump Shot (3 PTS) (Walker 3 AST),203087,1610612766,202689,1610612766,0,
1,172.0,2,0,1,MISS Patterson 25' 3PT Jump Shot,,202335,1610612761,0,,0,
1,171.0,4,1,1,,Hairston REBOUND (Off:1 Def:2),203798,1610612766,0,,0,
1,163.0,2,1,1,,MISS Walker 8' Jump Shot,202689,1610612766,0,,0,
1,162.0,4,1,1,,Zeller REBOUND (Off:3 Def:1),203469,1610612766,0,,0,
1,159.0,2,1,0,,MISS Zeller 4' Tip Layup Shot,203469,1610612766,0,,0,
1,158.0,4,0,0,Biyombo REBOUND (Off:0 Def:1),,202687,1610612761,0,,0,
1,153.0,2,0,0,MISS DeRozan 2' Layup,,201942,1610612761,0,,0,
1,153.0,4,0,0,RAPTORS Rebound,,1610612761,,0,,0,
1,145.0,2,0,1,MISS DeRozan 7' Driving Floating Jump Shot,,201942,1610612761,0,,0,
1,144.0,4,1,1,,Kaminsky REBOUND (Off:0 Def:1),1626163,1610612766,0,,0,
1,142.0,5,1,0,Patterson STEAL (1 STL),Kaminsky Lost Ball Turnover (P1.T2),1626163,1610612766,202335,1610612761,0,
1,133.0,6,-1,0,,Hornets T.Foul (Def. 3 Sec Hansbrough ) (S.Corbin),201946,1610612766,0,,0,
1,133.0,3,0,1,DeRozan Free Throw Technical (8 PTS),,201942,1610612761,0,,0,
1,121.0,1,0,1,Joseph 20' Pullup Jump Shot (2 PTS),,202709,1610612761,0,,0,
1,112.0,6,-1,1,Ross P.FOUL (P1.T4) (M.Boland),,203082,1610612761,203148,1610612766,0,
1,104.0,6,-1,1,Ross S.FOUL (P2.PN) (S.Corbin),,203082,1610612761,203148,1610612766,0,
1,104.0,3,1,1,,Roberts Free Throw 1 of 2 (1 PTS),203148,1610612766,0,,0,
1,104.0,3,1,0,,Roberts Free Throw 2 of 2 (2 PTS),203148,1610612766,0,,0,
1,85.0,2,0,1,MISS Patterson 7' Driving Floating Bank Jump Shot,,202335,1610612761,0,,0,
1,85.0,4,1,1,,Kaminsky REBOUND (Off:0 Def:2),1626163,1610612766,0,,0,
1,74.0,1,1,0,,Walker 2' Driving Finger Roll Layup (2 PTS),202689,1610612766,0,,0,
1,64.0,1,0,1,DeRozan 3' Driving Layup (10 PTS),,201942,1610612761,0,,0,
1,43.0,2,1,0,,MISS Walker 19' Pullup Jump Shot,202689,1610612766,0,,0,
1,42.0,4,0,0,Biyombo REBOUND (Off:0 Def:2),,202687,1610612761,0,,0,
1,33.0,1,0,1,DeRozan 2' Jump Bank Shot (12 PTS),,201942,1610612761,0,,0,
1,19.0,2,1,1,,MISS Lamb 2' Driving Layup,203087,1610612766,0,,0,
1,19.0,4,1,1,,Hansbrough REBOUND (Off:1 Def:0),201946,1610612766,0,,0,
1,16.0,2,1,1,,MISS Hansbrough 3' Tip Layup Shot,201946,1610612766,0,,0,
1,15.0,4,1,1,,Kaminsky REBOUND (Off:1 Def:2),1626163,1610612766,0,,0,
